Rk,Player,Tm,FantPos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Y/A,Rush_TD,Tgt,Rec,Yds,Y/R,Receiving_TD,Fmb,FL,Total_TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Player_Touches,Player Yards,Team Tuches,Team Yard,Team TD,% of Team Touch,% of Team Yard,% of Team TD
5,Ja'Marr Chase,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,,,276,403,406,339.5,138,1,5,178,1740,926,6156,54,0.19,0.28,0.31
19,Brian Thomas,JAX,WR,22,17,16,0,0,0,0,0,6,48,8,0,133,87,1282,14.74,10,0,0,10,2,,197,284,287,240.5,63,4,19,139,1330,877,5229,33,0.16,0.25,0.30
118,Nick Westbrook-Ikhine,TEN,WR,27,17,9,0,0,0,0,0,0,0,,0,60,32,497,15.53,9,0,0,9,,,104,135.7,138.7,119.7,,42,,60,497,860,5009,32,0.07,0.10,0.28
46,Davante Adams,KAN,WR,32,14,14,0,0,0,0,0,0,0,,0,141,85,1063,12.51,8,0,0,8,1,,156,241.3,244.3,198.8,25,12,46,141,1063,1033,6141,44,0.14,0.17,0.18
102,Xavier Worthy,KAN,WR,21,17,13,0,0,0,0,0,20,104,5.2,3,98,59,638,10.81,6,0,0,9,,,128,187.2,193.2,157.7,,32,,118,742,1033,6141,44,0.11,0.12,0.20
23,Terry McLaurin,WAS,WR,29,17,17,0,0,0,0,0,2,2,1,0,117,82,1096,13.37,13,1,1,13,,,186,267.8,271.8,226.8,53,5,23,119,1098,862,5569,53,0.14,0.20,0.25
12,Justin Jefferson,MIN,WR,25,17,17,1,1,22,0,0,1,3,3,0,154,103,1533,14.88,10,1,0,10,,,214,317.5,320.5,266,80,2,12,155,1536,829,5675,41,0.19,0.27,0.24
54,Jordan Addison,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,10,,,150,212.5,215.5,181,19,18,54,102,895,829,5675,41,0.12,0.16,0.24
37,Malik Nabers,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.4,0,170,109,1204,11.05,7,1,0,7,1,,165,273.6,276.6,219.1,33,8,37,175,1206,883,4865,29,0.20,0.25,0.24
120,Jalen Tolbert,DAL,WR,25,17,15,0,0,0,0,0,0,0,,0,79,49,610,12.45,7,0,0,7,,,103,152,155,127.5,,43,,79,610,982,5634,31,0.08,0.11,0.23
26,Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3,0,158,100,1271,12.71,9,0,0,9,,,181,280.8,283.8,230.8,48,6,26,159,1268,1004,6491,40,0.16,0.20,0.23
110,Keenan Allen,CHI,WR,32,15,15,0,1,0,0,1,0,0,,0,121,70,744,10.63,7,1,0,7,,,114,184.4,188.4,150.4,,37,,121,744,853,4760,32,0.14,0.16,0.22
52,Garrett Wilson,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.5,0,154,101,1104,10.93,7,2,2,7,1,,151,251.9,256.9,201.4,20,16,52,156,1109,790,4416,33,0.20,0.25,0.21
60,Nico Collins,HOU,WR,25,12,12,0,0,0,0,0,0,0,,0,99,68,1006,14.79,7,0,0,7,,,143,210.6,213.6,176.6,12,20,60,99,1006,871,5440,33,0.11,0.18,0.21
106,Quentin Johnston,LAC,WR,23,15,11,0,0,0,0,0,3,6,2,0,91,55,711,12.93,8,0,0,8,,,120,174.7,177.7,147.2,,36,,94,717,877,5429,40,0.11,0.13,0.20
42,Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,8,,,159,240.3,244.3,199.8,28,10,42,135,1081,882,5068,41,0.15,0.21,0.20
68,Marvin Harrison Jr.,ARI,WR,22,17,16,0,0,0,0,0,0,0,,0,116,62,885,14.27,8,1,1,8,,,135,196.5,200.5,165.5,5,26,68,116,885,899,5742,41,0.13,0.15,0.20
40,CeeDee Lamb,DAL,WR,25,15,15,0,0,0,0,0,14,70,5,0,152,101,1194,11.82,6,1,1,6,1,,162,263.4,267.4,212.9,31,9,40,166,1264,982,5634,31,0.17,0.22,0.19
35,Mike Evans,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,11,,,166,240.4,243.4,203.4,35,7,35,110,1004,980,6660,57,0.11,0.15,0.19
133,Demarcus Robinson,LAR,WR,30,17,17,0,0,0,0,0,0,0,,0,64,31,505,16.29,7,0,0,7,,,93,123.5,126.5,108,,47,,64,505,959,5815,37,0.07,0.09,0.19
65,D.J. Moore,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,1,,140,238.1,242.1,189.1,10,22,65,154,1041,853,4760,32,0.18,0.22,0.19
56,Tee Higgins,CIN,WR,25,12,9,0,0,0,0,0,0,0,,0,109,73,911,12.48,10,1,1,10,,,149,222.1,226.1,185.6,18,19,56,109,911,926,6156,54,0.12,0.15,0.19
142,Allen Lazard,NYJ,WR,29,12,10,0,1,0,0,0,0,0,,0,60,37,530,14.32,6,0,0,6,,,89,126,129,107.5,,55,,60,530,790,4416,33,0.08,0.12,0.18
18,Amon-Ra St. Brown,DET,WR,25,17,17,1,1,7,1,0,2,6,3,0,141,115,1263,10.98,12,1,1,12,,,201,316.2,320.2,258.7,67,3,18,143,1269,1008,7125,68,0.14,0.18,0.18
66,Tyreek Hill,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,,,137,218.2,221.2,177.7,7,23,66,131,1012,963,5633,34,0.14,0.18,0.18
43,Ladd McConkey,LAC,WR,23,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,7,1,,159,240.9,243.9,199.9,28,11,43,112,1149,877,5429,40,0.13,0.21,0.18
104,Alec Pierce,IND,WR,24,16,13,0,0,0,0,0,0,0,,0,69,37,824,22.27,7,0,0,7,,,124,161.4,164.4,142.9,,35,,69,824,892,5406,40,0.08,0.15,0.18
113,Cooper Kupp,LAR,WR,31,12,11,0,0,0,0,0,2,10,5,0,100,67,710,10.6,6,1,0,6,,,108,175,178,141.5,,39,,102,720,959,5815,37,0.11,0.12,0.16
